dutch,english
kant-en-klaarmaaltijd,ready meal
kapsel,haircut
karakteriseren,to characterize
katholiek,catholic
kenmerk,characteristic / identifying mark
kerncentrale,nuclear power plant
Kerstmis,Christmas
klagen,to complain
klap,bang / crash
klasgenoot,classmate
klassiek,classic
kleed,carpet
klus,job / task
knop,button / switch
koel,cool / cold
koopjesjager,bargain hunter
koppel,couple
kou,coldness / chill
kraan,tap / faucet
kwetsbaar,vulnerable
kwijt,lost
lamp,lamp
landbouw,agriculture
landen,to land
landschap,landscape
langzamerhand,gradually
lawaai,a lot of noise
leeg,empty
legalisering,legalization
leggen,to lay / to put
lening,loan
lepel,spoon
lichaam,body
lichamelijk,physical
loskloppen,to beat loose
lui,lazy
machteloos,powerless
magnetron,microwave
media,media
melden,to report
mengen,to mix
mens,human being
merken,to notice
middel,the means
mie,noodles
molen,windmill
motor,engine
nabestaande,surviving relative
nadoen,to imitate
nat,wet
natuur,nature
nauwelijks,hardly / scarcely
noemen,to mention / to call
nogal,rather
omheen,around
omhooggaan,to go upwards / to increase
omroepen,to call / to page
ondanks,in spite of
onderscheid,distinction between
ondertussen,meanwhile
ongemakkelijk,uncomfortable
ongerust,worried
onmiddellijk,immediately
ontkennen,to deny
ontslag,dismissal / discharge
onvergelijkbaar,incomparable
onzeker,uncertain / doubtful
oordeel,judgement / verdict
oorlog,war
oorspronkelijk,original
oorzaak,cause
oosters,oriental / eastern
opbergen,to put away
opbouwen,to build up
ophangen,to hang up
ophouden,to stop
opknappen,to refurbish
oplopen,to increase
oppassen,to baby-sit
opruimen,to tidy up
opslaan,to store
optellen,to add up
optimistisch,optimistic
opvallen,to attract attention
opvallend,striking
opvoeding,upbringing
organisatie,organization
oudere,elder / older person
oven,oven
overeenkomst,similarity
overgang,transition / change over
overgewicht,overweight
overgrootmoeder,great-grandmother
overheid,administration / government
overlast,inconvenience
overledene,deceased person
overleggen,to consult
overlijden,to die / pass away
overstromen,to flood
oververmoeid,exhausted
paksoi,Chinese cabbage
pan,saucepan
parfum,perfume
parkeerplaats,parking space
passagier,passenger
pensioen,pension
percentage,percentage
pesten,to pester / to nag
plaatje,image
plafond,ceiling
plank,shelf
plannen,to plan
plant,plant
platteland,countryside
plicht,duty
plotseling,sudden / unexpected
poep,poop
polder,polder (area drained for agriculture)
populair,popular
positie,position
produceren,to produce / to manufacture
product,product
proefdier,test animal
professioneel,professional
proficiat,congratulations
prognose,prognosis
protestants,protestant
puberteit,puberty
publiciteit,publicity
puzzelen,to solve puzzles
rage,rage / mania
ramp,catastrophe
rand,edge / border
recept,recipe
rechter,judge
regel,rule
regering,government
regio,region
relatief,comparative
respect,respect
restje,remnant / leftover
ritueel,ritual
rivier,river
roerbakken,stir-fry
roeren,to stir
rol,role
rondom,around
rook,smoke
rot,lousy
ruimte,room / space
rust,rest / relaxation
samenleving,society
schaatsen,to ice-skate
schelden,to curse
scheppen,to scoop out
schillen,to peel
scholier,pupil / schoolboy / girl
schuld,debt
scooter,scooter
serie,series
sigaret,cigarette
situatie,situation
slap,weak / spineless
slee,sled
sleutel,key
slingeren,to meander
slok,the swallow / the sip
sloom,lethargic / slow
slot,lock
smaak,the taste
snipperen,to shred
soep,soup
souvenir,souvenir
speciaal,special
specialiteit,speciality
spectaculair,spectacular
spel,game
spiegeling,reflection
spier,muscle
springen,to jump
spruitjes,Brussel sprouts
staart,tail
stank,stench / nasty smell
steun,support
stichting,foundation / non-profit
stijgen,to increase
stijl,style
stil,silent / quiet
stilte,silence
stimuleren,to stimulate / to encourage
stinken,to stink / to smell
stofzuigen,to vacuum
stoven,to simmer / to stew
streek,region / area
strijken,to iron
stromen,to stream / to flow
structureel,structural
succes,success
succesvol,successful
symbool,symbol
takelwagen,tow truck
tandenpoetsen,to brush your teeth
tegenligger,oncoming traffic
tegenover,opposed / across
tekort,lack / shortfall
tekortkomen,to lack
ten slotte,finally
tenslotte,after all
terechtkomen,to end up
termijn,period / term
test,the test
tijdelijk,temporary
toenemen,to increase / to grow
toespraak,speech
toetje,dessert
toets,test / check
toevoegen,to add
tolerant,tolerant
totaal,total
totdat,until
traditioneel,traditional
trap,stairs
trend,trend
triest,sad / depressing
trillen,to tremble
troep,mess
trots,pride / proud
truttig,frumpy / an old frump
type,type
ui,onion
uitbreiden,to expand / to enlarge
uitdoen,to turn off
uitgang,exit
uitgave,the expense
uitmaken,to matter
uitmonden,to flow out
uitpakken,to unpack / to unwrap
uitslijten,to erode
uitvaart,funeral / burial
uitvallen,to malfunction / to fall out
uitwisselen,to exchange
uitzondering,exception
vaas,vase
vaatje,small barrel / keg
vangen,to catch
vast,fixed
vechten,to fight
veilig,safe / secure
veiligheid,security / safety
verbazen zich,to amaze / to astonish
verbergen,to hide / to conceal
verbieden,to forbid
verdelen,to divide up / to distribute
verdrinken,to drown
verdwijnen,to disappear
vereniging,club / association
vergelijken met,compare with / to
vergrijzen,to age
vergrijzing,ageing
verhitten,to heat
verklaring,explanation
verkruimelen,crumble
verlaten,to leave
verlies,loss
vermijden,avoid
verpakking,wrapping
verrassen,to surprise
versieren,to decorate
verslaafd,addicted
verstoren,to disturb / to upset
vertaling,translation
vertrouwd,trusted / familiar
vertrouwen,confidence / trust
vervanger,replacement / substitute
verwachting,expectation
verwerken,to process / to handle
vezel,fibre
vies,dirty
vlag,flag
vlak,flat / level
vliegen,to fly
vlucht,flight
vocht,liquids / fluids
voeding,nutrition / feeding
volgorde,order / sequence
volop,in abundance
voordelig,advantageous / profitable
voorgoed,once and for all
voorhoofd,forehead
vóórkomen,to occur
voornamelijk,mainly
voorstelling,show / performance
voorverwarmen,to preheat
vriendenprijsje,friendly priced
vriezer,freezer
vrijheid,freedom
vrijwilliger,volunteer
vuil,garbage / foul
vuur,fire
waarde,value / worth
waarschuwen,to warn
wasmiddel,detergent
weduwnaar,widower
weiland,pasture
wel eens,ever / sometimes
wet,law
wijzen,to point
winkelen,to shop
winnen,to win
wok,wok
zaak,the shop
zalig,gorgeous / divine
zand,sand
zeep,soap
zilver,silver
zodat,so that
zodoende,in this / that way
zoiets,something
zolang,as long as
zomaar,just like that (without warning)
zorg,care
zorgzaam,caring
zulk,such
zwemmen,to swim
